epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60386,2.42976,9.12507,2.56893,0.13649,0.09709,0.04488,0.00809,3.04232,12.5602,3.40876,0.000615385,0.000615385,0.000615385
2,8.45998,2.60367,9.89043,2.73637,0.09833,0.13592,0.03446,0.00661,2.9779,12.9819,3.28724,0.00121859,0.00121859,0.00121859
3,11.556,2.81937,21.7094,2.68577,0.00806,0.09709,0.00281,0.00058,3.09044,99.1491,3.12919,0.00175579,0.00175579,0.00175579
4,15.6528,2.70081,27.1741,2.5168,0.01329,0.23301,0.00677,0.00136,3.19802,79.198,3.13034,0.001703,0.001703,0.001703
5,20.6649,2.79512,29.4253,2.59613,0.01337,0.23301,0.00683,0.00137,3.19974,79.2969,3.13295,0.001604,0.001604,0.001604
6,24.9177,2.7324,31.0071,2.55335,0.01337,0.23301,0.00683,0.00137,3.19974,79.2969,3.13295,0.001505,0.001505,0.001505
7,29.099,2.76714,27.3067,2.56025,0.01337,0.23301,0.00683,0.00137,3.19974,79.2969,3.13295,0.001406,0.001406,0.001406
8,33.6677,2.90383,28.3412,2.61838,0.01337,0.23301,0.00683,0.00137,3.19974,79.2969,3.13295,0.001307,0.001307,0.001307
9,37.873,2.9686,30.6897,2.64767,0.01337,0.23301,0.00683,0.00137,3.19974,79.2969,3.13295,0.001208,0.001208,0.001208
10,42.2941,2.80842,28.2006,2.56913,0.01337,0.23301,0.00683,0.00137,3.19974,79.2969,3.13295,0.001109,0.001109,0.001109
11,47.021,3.09308,63.5568,2.8862,0.01337,0.23301,0.00683,0.00137,3.19974,79.2969,3.13295,0.00101,0.00101,0.00101
12,49.2226,3.11627,63.5715,2.8112,0.01122,0.15534,0.00499,0.00094,3.20399,36.3362,2.98506,0.000911,0.000911,0.000911
13,53.6574,3.1343,63.5029,2.93879,0.01134,0.15534,0.00509,0.00096,3.20351,36.1913,2.98271,0.000812,0.000812,0.000812
14,55.8849,3.14373,37.6411,2.91299,0.00111,0.05825,0.00028,4e-05,3.25983,43.3416,3.72926,0.000713,0.000713,0.000713
15,60.4337,3.00456,16.0483,2.99175,0.00095,0.04854,0.00023,4e-05,3.26086,43.3368,3.73148,0.000614,0.000614,0.000614
16,64.8211,2.96886,16.1449,2.93757,0.00095,0.04854,0.00023,4e-05,3.26086,43.3368,3.73148,0.000515,0.000515,0.000515
17,67.1104,2.69329,12.912,2.64187,0.00194,0.04854,0.00044,7e-05,2.84701,30.1017,3.45402,0.000416,0.000416,0.000416
18,69.4473,2.20865,7.8784,2.17489,0.00318,0.09709,0.00062,0.00015,2.23215,44.6889,2.68204,0.000317,0.000317,0.000317
19,71.7322,1.98384,6.65605,2.03199,0.05263,0.3301,0.04426,0.01771,1.84593,12.022,2.0038,0.000218,0.000218,0.000218
20,74.1485,1.78895,5.38238,1.82903,0.36475,0.42718,0.27858,0.11973,1.79616,8.72946,1.90747,0.000119,0.000119,0.000119
